document,report_file,conforms,severity,focus_node,source_shape,constraint,result_path,value,message
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,_:n800d75636a8f4f0e92006f2c79c0f07eb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,_:n800d75636a8f4f0e92006f2c79c0f07eb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,_:n800d75636a8f4f0e92006f2c79c0f07eb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,_:n800d75636a8f4f0e92006f2c79c0f07eb5,sh:MinCountConstraintComponent,leco:appointsPerson,,No se ha identificado la persona nombrada.
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,_:n800d75636a8f4f0e92006f2c79c0f07eb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,_:n800d75636a8f4f0e92006f2c79c0f07eb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,_:n800d75636a8f4f0e92006f2c79c0f07eb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality_legal/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,_:n800d75636a8f4f0e92006f2c79c0f07eb10,sh:MinCountConstraintComponent,leco:appointsToOffice,,No se ha identificado el oficio al que se realiza el nombramiento.
cab-001-003,build/shacl_reports_quality_legal/cab-001-003.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s004_a006,_:na6c8eefd35904408bfeef85f99660ee5b11,sh:MinCountConstraintComponent,leco:resultsInLegalArrangement,,El repartimiento no está enlazado todavía con el arreglo o régimen jurídico resultante.
cab-001-003,build/shacl_reports_quality_legal/cab-001-003.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a001,_:na6c8eefd35904408bfeef85f99660ee5b8,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
